Number,Values
1,Q11999
2,Q21999
3,Q31999
4,Q41999
5,Q12000
6,Q22000
7,Q32000
8,Q42000
9,Q12001
10,Q22001
11,Q32001
12,Q42001
13,Q12002
14,Q22002
15,Q32002
16,Q42002
17,Q12003
18,Q22003
19,Q32003
20,Q42003
21,Q12004
22,Q22004
23,Q32004
24,Q42004
25,Q12005
26,Q22005
27,Q32005
28,Q42005
29,Q12006
30,Q22006
31,Q32006
32,Q42006
33,Q12007
34,Q22007
35,Q32007
36,Q42007
37,Q12008
38,Q22008
39,Q32008
40,Q42008
41,Q12009
42,Q22009
43,Q32009
44,Q42009
45,Q12010
46,Q22010
47,Q32010
48,Q42010
49,Q12011
50,Q22011
51,Q32011
52,Q42011
53,Q12012
54,Q22012
55,Q32012
56,Q42012
57,Q12013
58,Q22013
59,Q32013
60,Q42013
61,Q12014
62,Q22014
63,Q32014
64,Q42014
65,Q12015
66,Q22015
67,Q32015
68,Q42015
69,Q12016
70,Q22016
71,Q32016
72,Q42016
